,date_time,symbol,order_price,order_amount,commission
0,2005-07-20,399300.SZ,842.6410000000002,11800,2982.95
1,2006-03-27,399300.SZ,1050.707,-11800,3719.5
2,2006-04-06,399300.SZ,1103.237,11200,3706.88
3,2006-09-21,399300.SZ,1387.37,-11200,4661.56
4,2007-01-12,399300.SZ,2173.7470000000008,7100,4630.08
5,2007-04-27,399300.SZ,3470.523,-7100,7392.21
6,2008-06-27,399300.SZ,2816.021,8800,7434.3
7,2009-03-05,399300.SZ,2304.919,-8800,6084.99
8,2009-08-31,399300.SZ,2830.271,7100,6028.48
9,2010-01-18,399300.SZ,3500.684,-7100,7456.46
10,2010-07-06,399300.SZ,2562.902,9700,7458.04
11,2011-08-08,399300.SZ,2793.897,-9700,8130.24
12,2012-08-24,399300.SZ,2275.677,11900,8124.17
13,2013-06-25,399300.SZ,2165.4210000000007,-11900,7730.55
14,2014-04-18,399300.SZ,2224.479,11600,7741.19
15,2014-09-12,399300.SZ,2438.358,-11600,8485.49
16,2014-12-02,399300.SZ,2923.94,9700,8508.67
17,2015-04-22,399300.SZ,4739.814,-9700,13792.86
18,2016-02-18,399300.SZ,3053.699,15000,13741.65
19,2016-05-12,399300.SZ,3090.137,-15000,13905.62
20,2017-04-21,399300.SZ,3466.7865,13400,13936.48
21,2017-10-19,399300.SZ,3931.2495,-13400,15803.62
22,2017-11-30,399300.SZ,4006.0993,13100,15743.97
23,2018-05-07,399300.SZ,3834.1877,-13100,15068.36
24,2018-11-20,399300.SZ,3218.4076,15600,15062.15
25,2019-07-30,399300.SZ,3870.3176,-15600,18113.09
26,2020-07-06,399300.SZ,4670.0949,12900,18073.27
