,date_time,symbol,name,open,low,high,close,chg,pct_chg,volume,turnover,suspend
0,1991-01-02,000001.SZ,深发展Ａ,67.41,67.41,67.41,67.41,0,0,58900,3976000.0,True
1,1991-01-03,000001.SZ,深发展Ａ,66.4,66.4,66.4,66.4,-1.01,-1.4983,21200,1410000.0,False
2,1991-01-04,000001.SZ,深发展Ａ,66.07,66.07,66.07,66.07,-0.33,-0.497,16800,1109000.0,False
3,1991-01-07,000001.SZ,深发展Ａ,66.42,66.42,66.42,66.42,0.35,0.5297,40200,2672000.0,False
4,1991-01-09,000001.SZ,深发展Ａ,65.76,65.76,65.76,65.76,-0.66,-0.9937,6100,401000.0,False
5,1991-01-10,000001.SZ,深发展Ａ,65.43,65.43,65.43,65.43,-0.33,-0.5018,4900,320000.0,False
6,1991-01-11,000001.SZ,深发展Ａ,65.1,65.1,65.1,65.1,-0.33,-0.5044,4800,316000.0,False
7,1991-01-14,000001.SZ,深发展Ａ,64.45,64.45,64.45,64.45,-0.65,-0.9985,11900,766000.0,False
8,1991-01-15,000001.SZ,深发展Ａ,64.13,64.13,64.13,64.13,-0.32,-0.4965,13300,854000.0,False
9,1991-01-16,000001.SZ,深发展Ａ,63.81,63.81,63.81,63.81,-0.32,-0.499,5400,343000.0,False
10,1991-01-17,000001.SZ,深发展Ａ,63.49,63.49,63.49,63.49,-0.32,-0.5015,4400,282000.0,False
11,1991-01-18,000001.SZ,深发展Ａ,63.2,63.2,63.2,63.2,-0.29,-0.4568,3200,202000.0,False
12,1991-01-21,000001.SZ,深发展Ａ,62.54,62.54,62.54,62.54,-0.66,-1.0443,3200,200000.0,False
13,1991-01-22,000001.SZ,深发展Ａ,62.23,62.23,62.23,62.23,-0.31,-0.4957,2100,134000.0,False
14,1991-01-23,000001.SZ,深发展Ａ,61.92,61.92,61.92,61.92,-0.31,-0.4982,4500,279000.0,False
15,1991-01-24,000001.SZ,深发展Ａ,61.62,61.62,61.62,61.62,-0.3,-0.4845,2300,142000.0,False
16,1991-01-25,000001.SZ,深发展Ａ,61.3,61.3,61.3,61.3,-0.32,-0.5193,6300,387000.0,False
17,1991-01-29,000001.SZ,深发展Ａ,60.39,60.39,60.39,60.39,-0.91,-1.4845,23100,1394000.0,False
18,1991-01-30,000001.SZ,深发展Ａ,60.09,60.09,60.09,60.09,-0.3,-0.4968,46100,2773000.0,False
19,1991-01-31,000001.SZ,深发展Ａ,60.39,60.39,60.39,60.39,0.3,0.4993,165200,9977000.0,False
20,1991-02-04,000001.SZ,深发展Ａ,61.29,61.29,61.29,61.29,0.9,1.4903,67600,4141000.0,False
21,1991-02-05,000001.SZ,深发展Ａ,60.6,60.6,60.6,60.6,-0.69,-1.1258,69000,4181000.0,False
22,1991-02-06,000001.SZ,深发展Ａ,61.91,61.91,61.91,61.91,1.31,2.1617,36900,2284000.0,False
23,1991-02-07,000001.SZ,深发展Ａ,62.22,62.22,62.22,62.22,0.31,0.5007,32400,2014000.0,False
24,1991-02-08,000001.SZ,深发展Ａ,62.53,62.53,62.53,62.53,0.31,0.4982,42500,2656000.0,False
25,1991-02-11,000001.SZ,深发展Ａ,63.15,63.15,63.15,63.15,0.62,0.9915,180600,11407000.0,False
26,1991-02-12,000001.SZ,深发展Ａ,63.47,63.47,63.47,63.47,0.32,0.5067,176800,11222000.0,False
27,1991-02-13,000001.SZ,深发展Ａ,63.79,63.79,63.79,63.79,0.32,0.5042,66300,4231000.0,False
28,1991-02-22,000001.SZ,深发展Ａ,64.11,64.11,64.11,64.11,0.32,0.5016,63400,4067000.0,False
29,1991-02-25,000001.SZ,深发展Ａ,64.75,64.75,64.75,64.75,0.64,0.9983,72700,4706000.0,False
30,1991-02-26,000001.SZ,深发展Ａ,65.07,65.07,65.07,65.07,0.32,0.4942,113400,7378000.0,False
31,1991-02-27,000001.SZ,深发展Ａ,65.4,65.4,65.4,65.4,0.33,0.5071,59100,3864000.0,False
32,1991-02-28,000001.SZ,深发展Ａ,65.07,65.07,65.07,65.07,-0.33,-0.5046,35000,2280000.0,False
33,1991-03-01,000001.SZ,深发展Ａ,64.74,64.74,64.74,64.74,-0.33,-0.5071,19600,1271000.0,False
34,1991-03-04,000001.SZ,深发展Ａ,64.1,64.1,64.1,64.1,-0.64,-0.9886,10200,657000.0,False
35,1991-03-05,000001.SZ,深发展Ａ,63.36,63.36,63.36,63.36,-0.74,-1.1544,8700,550000.0,False
36,1991-03-06,000001.SZ,深发展Ａ,63.04,63.04,63.04,63.04,-0.32,-0.5051,6300,396000.0,False
37,1991-03-07,000001.SZ,深发展Ａ,62.72,62.72,62.72,62.72,-0.32,-0.5076,2900,18000.0,False
38,1991-03-08,000001.SZ,深发展Ａ,62.41,62.41,62.41,62.41,-0.31,-0.4943,19500,1219000.0,False
39,1991-03-11,000001.SZ,深发展Ａ,61.8,61.8,61.8,61.8,-0.61,-0.9774,18300,1130000.0,False
40,1991-03-12,000001.SZ,深发展Ａ,61.49,61.49,61.49,61.49,-0.31,-0.5016,43700,2690000.0,False
41,1991-03-25,000001.SZ,深发展Ａ,61.49,61.49,61.49,61.49,0,0,0,0.0,True
42,1991-03-26,000001.SZ,深发展Ａ,61.49,61.49,61.49,61.49,0,0,0,0.0,True
43,1991-03-27,000001.SZ,深发展Ａ,61.49,61.49,61.49,61.49,0,0,0,0.0,True
44,1991-03-28,000001.SZ,深发展Ａ,61.49,61.49,61.49,61.49,0,0,0,0.0,True
45,1991-03-29,000001.SZ,深发展Ａ,61.49,61.49,61.49,61.49,0,0,0,0.0,True
46,1991-04-02,000001.SZ,深发展Ａ,61.49,61.49,61.49,61.49,0,0,0,0.0,True
47,1991-04-03,000001.SZ,深发展Ａ,49.0,49.0,49.0,49.0,-12.49,-20.3122,100,4900.0,False
48,1991-04-04,000001.SZ,深发展Ａ,48.76,48.76,48.76,48.76,-0.24,-0.4898,300,14628.0,False
49,1991-04-05,000001.SZ,深发展Ａ,48.52,48.52,48.52,48.52,-0.24,-0.4922,200,9704.0,False
50,1991-04-08,000001.SZ,深发展Ａ,48.04,48.04,48.04,48.04,-0.24,-0.4971,200,9608.0,False
51,1991-04-09,000001.SZ,深发展Ａ,47.8,47.8,47.8,47.8,-0.24,-0.4996,400,19120.0,False
52,1991-04-10,000001.SZ,深发展Ａ,47.56,47.56,47.56,47.56,-0.24,-0.5021,1500,71340.0,False
53,1991-04-11,000001.SZ,深发展Ａ,47.56,47.56,47.56,47.56,0,0,0,0.0,True
54,1991-04-12,000001.SZ,深发展Ａ,47.08,47.08,47.08,47.08,-0.48,-1.0093,800,37664.0,False
55,1991-04-15,000001.SZ,深发展Ａ,47.08,47.08,47.08,47.08,0,0,0,0.0,True
56,1991-04-16,000001.SZ,深发展Ａ,46.38,46.38,46.38,46.38,-0.46,-0.9821,200,9276.0,False
57,1991-04-17,000001.SZ,深发展Ａ,46.15,46.15,46.15,46.15,-0.23,-0.4959,100,4615.0,False
58,1991-04-18,000001.SZ,深发展Ａ,45.92,45.92,45.92,45.92,-0.23,-0.4984,400,18368.0,False
59,1991-04-19,000001.SZ,深发展Ａ,45.69,45.69,45.69,45.69,-0.23,-0.5009,200,9138.0,False
60,1991-04-22,000001.SZ,深发展Ａ,45.69,45.69,45.69,45.69,0,0,0,0.0,True
61,1991-04-23,000001.SZ,深发展Ａ,45.0,45.0,45.0,45.0,-0.46,-1.0119,2800,126000.0,False
62,1991-04-24,000001.SZ,深发展Ａ,44.78,44.78,44.78,44.78,-0.22,-0.4889,1600,71648.0,False
63,1991-04-25,000001.SZ,深发展Ａ,44.56,44.56,44.56,44.56,-0.22,-0.4913,1500,66840.0,False
64,1991-04-26,000001.SZ,深发展Ａ,44.34,44.34,44.34,44.34,-0.22,-0.4937,800,35472.0,False
65,1991-04-29,000001.SZ,深发展Ａ,43.9,43.9,43.9,43.9,-0.44,-0.9923,400,17560.0,False
66,1991-04-30,000001.SZ,深发展Ａ,43.68,43.68,43.68,43.68,-0.22,-0.5011,200,8736.0,False
67,1991-05-02,000001.SZ,深发展Ａ,43.46,43.46,43.46,43.46,-0.22,-0.5037,200,8692.0,False
68,1991-05-03,000001.SZ,深发展Ａ,43.24,43.24,43.24,43.24,-0.22,-0.5062,300,12972.0,False
69,1991-05-06,000001.SZ,深发展Ａ,43.24,43.24,43.24,43.24,0,0,900,38520.0,True
70,1991-05-07,000001.SZ,深发展Ａ,42.59,42.59,42.59,42.59,-0.43,-0.9995,200,8518.0,False
71,1991-05-08,000001.SZ,深发展Ａ,42.38,42.38,42.38,42.38,-0.21,-0.4931,10900,461942.0,False
72,1991-05-09,000001.SZ,深发展Ａ,42.17,42.17,42.17,42.17,-0.21,-0.4955,1500,63255.0,False
73,1991-05-10,000001.SZ,深发展Ａ,41.96,41.96,41.96,41.96,-0.21,-0.498,2000,83920.0,False
74,1991-05-13,000001.SZ,深发展Ａ,41.54,41.54,41.54,41.54,-0.21,-0.503,1900,78926.0,False
75,1991-05-14,000001.SZ,深发展Ａ,41.33,41.33,41.33,41.33,-0.21,-0.5055,5500,227315.0,False
76,1991-05-15,000001.SZ,深发展Ａ,41.12,41.12,41.12,41.12,-0.21,-0.5081,38700,1591344.0,False
77,1991-05-16,000001.SZ,深发展Ａ,40.91,40.91,40.91,40.91,-0.21,-0.5107,49300,2016863.0,False
78,1991-05-17,000001.SZ,深发展Ａ,40.71,40.71,40.71,40.71,-0.2,-0.4889,41900,1705749.0,False
79,1991-05-20,000001.SZ,深发展Ａ,40.31,40.31,40.31,40.31,-0.2,-0.4937,5100,205581.0,False
80,1991-05-21,000001.SZ,深发展Ａ,40.11,40.11,40.11,40.11,-0.2,-0.4962,6300,252693.0,False
81,1991-05-22,000001.SZ,深发展Ａ,39.91,39.91,39.91,39.91,-0.2,-0.4986,4300,171613.0,False
82,1991-05-23,000001.SZ,深发展Ａ,39.71,39.71,39.71,39.71,-0.2,-0.5011,1700,67507.0,False
83,1991-05-24,000001.SZ,深发展Ａ,39.51,39.51,39.51,39.51,-0.2,-0.5037,300,11853.0,False
84,1991-05-27,000001.SZ,深发展Ａ,39.11,39.11,39.11,39.11,-0.4,-1.0124,500,19555.0,False
85,1991-05-28,000001.SZ,深发展Ａ,38.91,38.91,38.91,38.91,-0.2,-0.5114,300,11673.0,False
86,1991-05-29,000001.SZ,深发展Ａ,38.72,38.72,38.72,38.72,-0.19,-0.4883,3600,139392.0,False
87,1991-05-30,000001.SZ,深发展Ａ,38.53,38.53,38.53,38.53,-0.19,-0.4907,1400,53942.0,False
88,1991-05-31,000001.SZ,深发展Ａ,38.34,38.34,38.34,38.34,-0.19,-0.4931,100,3834.0,False
89,1991-06-03,000001.SZ,深发展Ａ,37.96,37.96,37.96,37.96,-0.57,-1.4794,700,26572.0,False
90,1991-06-04,000001.SZ,深发展Ａ,37.77,37.77,37.77,37.77,-0.19,-0.5005,100,3777.0,False
91,1991-06-05,000001.SZ,深发展Ａ,37.77,37.77,37.77,37.77,0,0,0,0.0,True
92,1991-06-06,000001.SZ,深发展Ａ,37.39,37.39,37.39,37.39,-0.38,-1.0061,400,14956.0,False
93,1991-06-07,000001.SZ,深发展Ａ,37.2,37.2,37.2,37.2,-0.19,-0.5082,100,3720.0,False
94,1991-06-10,000001.SZ,深发展Ａ,36.82,36.82,36.82,36.82,-0.19,-0.5134,1500,55230.0,False
95,1991-06-11,000001.SZ,深发展Ａ,36.64,36.64,36.64,36.64,-0.18,-0.4889,1200,43968.0,False
96,1991-06-12,000001.SZ,深发展Ａ,36.46,36.46,36.46,36.46,-0.18,-0.4913,1500,54690.0,False
97,1991-06-13,000001.SZ,深发展Ａ,36.28,36.28,36.28,36.28,-0.18,-0.4937,3400,123352.0,False
98,1991-06-14,000001.SZ,深发展Ａ,36.1,36.1,36.1,36.1,-0.18,-0.4961,700,25270.0,False
99,1991-06-17,000001.SZ,深发展Ａ,35.74,35.74,35.74,35.74,-0.18,-0.5011,500,17870.0,False
100,1991-06-18,000001.SZ,深发展Ａ,35.56,35.56,35.56,35.56,-0.18,-0.5036,1000,35560.0,False
101,1991-06-19,000001.SZ,深发展Ａ,35.38,35.38,35.38,35.38,-0.18,-0.5062,5700,201666.0,False
102,1991-06-20,000001.SZ,深发展Ａ,35.2,35.2,35.2,35.2,-0.18,-0.5088,3000,105600.0,False
103,1991-06-21,000001.SZ,深发展Ａ,35.02,35.02,35.02,35.02,-0.18,-0.5114,200,7004.0,False
104,1991-06-24,000001.SZ,深发展Ａ,34.67,34.67,34.67,34.67,-0.17,-0.4879,2500,86675.0,False
105,1991-06-25,000001.SZ,深发展Ａ,34.5,34.5,34.5,34.5,-0.17,-0.4903,1200,41400.0,False
106,1991-06-26,000001.SZ,深发展Ａ,34.33,34.33,34.33,34.33,-0.17,-0.4928,400,13732.0,False
107,1991-06-27,000001.SZ,深发展Ａ,34.16,34.16,34.16,34.16,-0.17,-0.4952,400,13664.0,False
108,1991-06-28,000001.SZ,深发展Ａ,33.99,33.99,33.99,33.99,-0.17,-0.4977,200,6798.0,False
109,1991-07-01,000001.SZ,深发展Ａ,33.65,33.65,33.65,33.65,-0.34,-1.0003,200,6730.0,False
