,date_time,symbol,name,open,low,high,close,chg,pct_chg,volume,turnover,suspend
0,2009-11-17,600999.SH,N招证,35.01,33.11,35.7,33.61,2.61,8.4194,171888596,5933006614.0,False
1,2009-11-18,600999.SH,招商证券,32.5,32.01,33.16,32.59,-1.02,-3.0348,81263157,2633929099.0,False
2,2009-11-19,600999.SH,招商证券,32.49,32.26,32.76,32.58,-0.01,-0.0307,35455060,1152218370.0,False
3,2009-11-20,600999.SH,招商证券,32.55,32.55,33.46,33.16,0.58,1.7802,44970325,1483124092.0,False
4,2009-11-23,600999.SH,招商证券,33.16,32.68,33.17,32.86,-0.3,-0.9047,28530458,936729669.0,False
5,2009-11-24,600999.SH,招商证券,32.98,32.01,33.19,32.21,-0.65,-1.9781,35087339,1147368612.0,False
6,2009-11-25,600999.SH,招商证券,32.25,31.68,32.48,32.31,0.1,0.3105,22712139,728944939.0,False
7,2009-11-26,600999.SH,招商证券,32.28,31.25,32.29,31.31,-1.0,-3.095,25337902,804522480.0,False
8,2009-11-27,600999.SH,招商证券,31.17,31.1,31.76,31.23,-0.08,-0.2555,17788195,558042613.0,False
9,2009-11-30,600999.SH,招商证券,31.47,31.25,32.48,32.18,0.95,3.0419,25643362,821341103.0,False
10,2009-12-01,600999.SH,招商证券,32.0,31.7,32.18,31.97,-0.21,-0.6526,19255244,614710723.0,False
11,2009-12-02,600999.SH,招商证券,32.0,31.73,32.13,31.87,-0.1,-0.3128,16993013,541335910.0,False
12,2009-12-03,600999.SH,招商证券,31.97,31.74,32.23,31.9,0.03,0.0941,14830899,474368850.0,False
13,2009-12-04,600999.SH,招商证券,32.0,31.55,32.9,32.61,0.71,2.2257,39216779,1265497614.0,False
14,2009-12-07,600999.SH,招商证券,32.5,32.22,32.75,32.53,-0.08,-0.2453,22671975,736843617.0,False
15,2009-12-08,600999.SH,招商证券,32.48,31.65,32.53,31.82,-0.71,-2.1826,14115697,451612357.0,False
16,2009-12-09,600999.SH,招商证券,31.65,31.31,31.77,31.4,-0.42,-1.3199,11320727,356695500.0,False
17,2009-12-10,600999.SH,招商证券,31.52,31.37,31.72,31.61,0.21,0.6688,8610347,271564022.0,False
18,2009-12-11,600999.SH,招商证券,31.62,31.4,31.7,31.44,-0.17,-0.5378,7942799,250361030.0,False
19,2009-12-14,600999.SH,招商证券,31.38,30.65,31.52,31.22,-0.22,-0.6997,14994097,465929982.0,False
20,2009-12-15,600999.SH,招商证券,31.2,30.8,31.2,30.81,-0.41,-1.3133,9843880,304325229.0,False
21,2009-12-16,600999.SH,招商证券,30.8,30.7,31.18,30.85,0.04,0.1298,9571962,295631803.0,False
22,2009-12-17,600999.SH,招商证券,30.84,29.61,30.9,29.63,-1.22,-3.9546,14600439,440538090.0,False
23,2009-12-18,600999.SH,招商证券,29.5,28.52,29.5,28.73,-0.9,-3.0375,12527209,362561789.0,False
